,start,end,duration,round_epochs,loss,accuracy,val_loss,val_accuracy,lr,hidden_layers,shapes,batch_size,epochs,optimizer,losses,activation,last_activation,dropout_rate,batch_normalization
53,06/24/22-222508,06/24/22-222632,84.2075309753418,17,0.03182807192206383,0.9932083487510681,0.20270222425460815,0.9738333225250244,0.001,"(256, 256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
54,06/24/22-222632,06/24/22-222739,66.62770891189575,16,0.01873360015451908,0.9936666488647461,0.1787165254354477,0.9777500033378601,0.0003,"(256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
55,06/24/22-222739,06/24/22-222908,89.30638790130615,17,0.02868553437292576,0.9907500147819519,0.11375102400779724,0.9815833568572998,0.003,"(256, 256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
56,06/24/22-222909,06/24/22-223255,226.799987077713,13,0.009753536432981491,0.996999979019165,0.24356241524219513,0.9724166393280029,0.0001,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
57,06/24/22-223256,06/24/22-223946,410.52027583122253,22,0.04153657704591751,0.987291693687439,0.24143704771995544,0.9783333539962769,0.0003,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
58,06/24/22-223946,06/24/22-224130,103.69588017463684,18,0.019344838336110115,0.9938750267028809,0.14455850422382355,0.9755833148956299,0.0001,"(256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
59,06/24/22-224130,06/24/22-224228,58.01524901390076,17,0.016343962401151657,0.9947500228881836,0.1443333476781845,0.9783333539962769,0.001,"(256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
60,06/24/22-224228,06/24/22-224351,82.29295802116394,14,0.16250477731227875,0.9666249752044678,0.3384864628314972,0.9593333601951599,0.003,"(512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
61,06/24/22-224351,06/24/22-224719,208.39398884773254,13,0.15664812922477722,0.9694374799728394,0.30092766880989075,0.9574166536331177,0.001,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
62,06/24/22-224719,06/24/22-224957,157.16274976730347,15,0.030252061784267426,0.9898958206176758,0.20075631141662598,0.9763333201408386,0.001,"(512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
63,06/24/22-224957,06/24/22-225133,96.00969409942627,16,0.018741412088274956,0.9955624938011169,0.24050384759902954,0.9750000238418579,0.0003,"(512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
64,06/24/22-225133,06/24/22-225427,173.71607208251953,21,0.027223439887166023,0.9912083148956299,0.15272197127342224,0.9797499775886536,0.001,"(256, 256, 256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
65,06/24/22-225427,06/24/22-225618,111.37467908859253,15,0.021403122693300247,0.992520809173584,0.14273768663406372,0.9798333048820496,0.0003,"(512, 512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
66,06/24/22-225618,06/24/22-225808,109.82336926460266,14,0.03236415237188339,0.9934583306312561,0.4848783314228058,0.9746666550636292,0.0003,"(512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
67,06/24/22-225809,06/24/22-225929,80.19453001022339,12,0.2425895631313324,0.9510416388511658,0.30296948552131653,0.9422500133514404,0.003,"(256, 256, 256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
68,06/24/22-225929,06/24/22-230254,205.58287596702576,16,0.07366929948329926,0.9765625,0.12191638350486755,0.9777500033378601,0.0003,"(256, 256, 256)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
69,06/24/22-230255,06/24/22-230438,103.12019681930542,21,0.0164593867957592,0.9943541884422302,0.13023917376995087,0.9756666421890259,0.0001,"(256, 256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
70,06/24/22-230438,06/24/22-230834,235.81936502456665,14,0.14354592561721802,0.9732083082199097,0.39097970724105835,0.9649999737739563,0.001,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,False
71,06/24/22-230834,06/24/22-231029,115.49032497406006,15,0.0063310242258012295,0.9986875057220459,0.1918785125017166,0.9739999771118164,0.0001,"(512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,False
72,06/24/22-231030,06/24/22-231404,213.88214492797852,14,0.05920281633734703,0.9818333387374878,0.21362483501434326,0.9779166579246521,0.0003,"(512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
73,06/24/22-231404,06/24/22-231759,235.4944350719452,22,0.04516969248652458,0.9860416650772095,0.15770725905895233,0.9783333539962769,0.0003,"(256, 256)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
74,06/24/22-231759,06/24/22-231946,106.94590377807617,13,0.0983097031712532,0.9835833311080933,0.3519819676876068,0.96875,0.001,"(512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
75,06/24/22-231947,06/24/22-232458,311.6825981140137,15,0.08930893987417221,0.9733750224113464,0.41779667139053345,0.9679999947547913,0.003,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
76,06/24/22-232458,06/24/22-232633,94.70740413665771,19,0.01662030816078186,0.995104193687439,0.13343364000320435,0.9736666679382324,0.0001,"(256, 256, 256, 256)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
77,06/24/22-232633,06/24/22-233148,314.31495904922485,15,0.10919155180454254,0.9671458601951599,6.3718767166137695,0.9566666483879089,0.003,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
78,06/24/22-233148,06/24/22-233320,91.7231719493866,17,0.02570192888379097,0.99197918176651,0.15779154002666473,0.9780833125114441,0.003,"(512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
79,06/24/22-233320,06/24/22-233647,207.26204586029053,12,0.04463275149464607,0.9923750162124634,0.2765443027019501,0.9733333587646484,0.0003,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
80,06/24/22-233647,06/24/22-233855,127.61517786979675,15,0.02111668698489666,0.9929791688919067,0.1818486899137497,0.9777500033378601,0.0003,"(512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
81,06/24/22-233855,06/24/22-234111,135.6297709941864,16,0.039774712175130844,0.9872291684150696,0.19317257404327393,0.9739999771118164,0.003,"(256, 256, 256, 256)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.0,True
82,06/24/22-234111,06/24/22-234240,88.65051007270813,16,0.010599171742796898,0.996833324432373,0.15612323582172394,0.9750000238418579,0.0001,"(512, 512)",brick,32,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
83,06/24/22-234240,06/24/22-234535,175.53419589996338,15,0.02612365409731865,0.9914374947547913,0.14660748839378357,0.9765833616256714,0.0001,"(512, 512, 512)",brick,16,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,True
84,06/24/22-234535,06/24/22-234741,125.5608298778534,13,0.009143824689090252,0.9970208406448364,0.20250947773456573,0.9741666913032532,0.0001,"(256, 256)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.2,False
85,06/24/22-234741,06/24/22-235257,315.59112215042114,15,0.05390993878245354,0.9828333258628845,0.17439240217208862,0.9764166474342346,0.0001,"(512, 512, 512)",brick,8,100,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,softmax,0.1,True
